Dimension Type,Survey Year,Average_Estimate
18-49 Years,2009,75.77777777777777
18-49 Years,2010,71.6375
18-49 Years,2011,78.11666666666666
18-49 Years,2012,77.93333333333334
18-49 Years,2013,62.45675675675676
18-49 Years,2014,62.67999999999999
18-49 Years,2015,64.25555555555555
18-49 Years,2016,66.23055555555555
18-49 Years,2017,65.30000000000001
18-49 Years,2018,68.14
18-49 Years,2019,73.6263888888889
18-49 Years,2020,69.5
18-49 Years,2021,67.85
18-49 Years,2022,66.68767123287671
18-49 Years,2023,68.8
18-64 Years,2009,10.166666666666666
18-64 Years,2010,9.875
18-64 Years,2011,16.866666666666667
18-64 Years,2012,20.016666666666666
18-64 Years,2013,32.071621621621624
18-64 Years,2014,35.21
18-64 Years,2015,36.18888888888889
18-64 Years,2016,36.50833333333333
18-64 Years,2017,37.15555555555555
18-64 Years,2018,42.9
18-64 Years,2019,47.35277777777778
18-64 Years,2020,47.7
18-64 Years,2021,45.725
18-64 Years,2022,42.391780821917806
18-64 Years,2023,47.63333333333333
18-64 Years at Increased Risk,2008,22.96081081081081
18-64 Years at Increased Risk,2009,24.56081081081081
18-64 Years at Increased Risk,2010,27.40945945945946
18-64 Years at Increased Risk,2011,30.085135135135136
18-64 Years at Increased Risk,2012,29.013513513513512
18-64 Years at Increased Risk,2013,31.02567567567568
18-64 Years at Increased Risk,2014,31.47972972972973
18-64 Years at Increased Risk,2015,34.020270270270274
18-64 Years at Increased Risk,2016,33.68472222222223
18-64 Years at Increased Risk,2017,36.754929577464786
18-64 Years at Increased Risk,2018,29.93610503282276
18-64 Years at Increased Risk,2019,32.53714375195741
18-64 Years at Increased Risk,2020,29.012472783825817
18-64 Years at Increased Risk,2021,28.35772539025167
18-64 Years at Increased Risk,2022,29.238526119402987
18-64 Years at Increased Risk,2023,33.17258064516129
50-64 Years,2009,74.61111111111111
50-64 Years,2010,68.2875
50-64 Years,2011,73.56666666666666
50-64 Years,2012,77.21666666666667
50-64 Years,2013,56.38918918918919
50-64 Years,2014,59.669999999999995
50-64 Years,2015,62.74444444444445
50-64 Years,2016,59.75
50-64 Years,2017,63.1888888888889
50-64 Years,2018,68.78
50-64 Years,2019,69.95972222222223
50-64 Years,2020,73.1
50-64 Years,2021,67.8
50-64 Years,2022,65.46575342465754
50-64 Years,2023,70.43333333333334
60-64 Years,2009,9.559999999999999
60-64 Years,2010,10.99
60-64 Years,2011,12.02
60-64 Years,2012,15.271428571428572
60-64 Years,2014,23.042465753424658
60-64 Years,2015,28.65
60-64 Years,2016,24.78
60-64 Years,2017,28.126470588235293
60-64 Years,2018,27.150000000000002
60-64 Years,2019,27.333333333333332
60-64 Years,2020,27.252857142857142
60-64 Years,2021,32.825
60-64 Years,2022,39.800000000000004
60-64 Years,2023,41.14354838709678
>=18 Years,2009,41.18888888888889
>=18 Years,2010,38.65
>=18 Years,2011,44.475
>=18 Years,2012,47.23333333333333
>=18 Years,2013,43.87364864864865
>=18 Years,2014,46.345
>=18 Years,2015,47.45
>=18 Years,2016,46.94652777777778
>=18 Years,2017,48.62222222222223
>=18 Years,2018,53.92
>=18 Years,2019,56.24476980895709
>=18 Years,2020,57.95
>=18 Years,2021,55.5375
>=18 Years,2022,50.818340068386696
>=18 Years,2023,56.88333333333333
>=60 Years,2009,14.48
>=60 Years,2010,15.5
>=60 Years,2011,17.580000000000002
>=60 Years,2012,22.12857142857143
>=60 Years,2014,32.5527027027027
>=60 Years,2015,38.3375
>=60 Years,2016,37.4
>=60 Years,2017,39.99154929577465
>=60 Years,2018,39.5
>=60 Years,2019,42.11666666666667
>=60 Years,2020,38.30631218905473
>=60 Years,2021,44.725
>=60 Years,2022,49.21666666666667
>=60 Years,2023,52.20483870967742
>=65 Years,2008,66.10270270270271
>=65 Years,2009,58.422680412371136
>=65 Years,2010,57.82828282828283
>=65 Years,2011,61.92307692307692
>=65 Years,2012,61.5
>=65 Years,2013,45.69054054054054
>=65 Years,2014,51.16428571428572
>=65 Years,2015,63.553000000000004
>=65 Years,2016,47.48584474885845
>=65 Years,2017,57.873125
>=65 Years,2018,73.25827114427861
>=65 Years,2019,71.51794795094227
>=65 Years,2020,71.14971133394106
>=65 Years,2021,71.02732465883847
>=65 Years,2022,69.43967923967924
>=65 Years,2023,62.48461538461538
