Vaccine,Survey Year,Average_Estimate,YoY % Change
Pneumococcal,2008,44.53175675675676,
Pneumococcal,2009,45.92027027027027,3.1180299512950205
Pneumococcal,2010,47.82972972972973,4.158206056325575
Pneumococcal,2011,49.63581081081081,3.7760637396168972
Pneumococcal,2012,48.6945945945946,-1.8962442656647704
Pneumococcal,2013,49.83108108108108,2.3339068657379114
Pneumococcal,2014,50.45337837837838,1.2488135593220484
Pneumococcal,2015,53.01554054054054,5.078276707155394
Pneumococcal,2016,53.287499999999994,0.5129806405566928
Pneumococcal,2017,55.95070422535211,4.997802909410498
Pneumococcal,2018,51.6677762150336,-7.654824134238247
Pneumococcal,2019,52.554541183839646,1.7162824370754004
Pneumococcal,2020,50.37491836417353,-4.14735391189438
Pneumococcal,2021,49.731857279388336,-1.2765501278559688
Pneumococcal,2022,49.89151251360174,0.3210321169315522
Pneumococcal,2023,51.5,3.2239701812201815
Tetanus,2009,44.32857142857143,
Tetanus,2010,42.11454545454546,-4.99458002519555
Tetanus,2011,46.654761904761905,10.780637428740004
Tetanus,2012,50.05,7.2773666751722255
Tetanus,2013,43.871428571428574,-12.344798059083761
Tetanus,2014,46.47714285714286,5.939433409312933
Tetanus,2015,47.76666666666667,2.7745333087436874
Tetanus,2016,46.60756972111554,-2.42658118398702
Tetanus,2017,49.20476190476191,5.5724685908042915
Tetanus,2018,54.65142857142857,11.069389335139835
Tetanus,2019,56.329439667951384,3.070388351019382
Tetanus,2020,58.92857142857143,4.6141622851945785
Tetanus,2021,56.324999999999996,-4.418181818181832
Tetanus,2022,50.94466676474916,-9.552300462052088
Tetanus,2023,57.642857142857146,13.147971718097008
Zoster (Shingles),2009,13.479999999999999,
Zoster (Shingles),2010,14.663333333333332,8.778437190900101
Zoster (Shingles),2011,16.58,13.071152534666975
Zoster (Shingles),2012,20.81904761904762,25.56723533804355
Zoster (Shingles),2014,30.7606334841629,47.75235662566808
Zoster (Shingles),2015,36.49583333333333,18.644609032916048
Zoster (Shingles),2016,34.980000000000004,-4.153442173764111
Zoster (Shingles),2017,37.82095238095238,8.121647744289229
Zoster (Shingles),2018,37.083333333333336,-1.9502921031426146
Zoster (Shingles),2019,39.294444444444444,5.962546816479386
Zoster (Shingles),2020,38.244179815421255,-2.672806916784587
Zoster (Shingles),2021,42.358333333333334,10.757593803209552
Zoster (Shingles),2022,47.36666666666667,11.823726145976776
Zoster (Shingles),2023,49.85322580645162,5.249597057955557
